CSD_code,HOMO_Energy,LUMO_Energy,Polarizability
FELWUP,-0.16471,0.00281,563.289528
SIDYIP,-0.17822,-0.02077,366.100238
MUHYIY,-0.19112,-0.08673,575.158971
SIMWIW,-0.15348,-0.05851,855.10075
BAKPUZ,-0.19006,-0.02023,357.001479
XEXXIJ,-0.23806,-0.09527,279.963542
SAKVAE,-0.15948,-0.00098,325.653029
DEDBUK,-0.17838,-0.04895,536.90959
GUXFEL,-0.1913,-0.0204,516.675738
KEQJUN,-0.17697,-0.04833,788.191407
UWODUH,-0.19142,-0.03229,395.146658
DEZFOG,-0.15178,-0.05396,597.279371
RIVLAK,-0.06358,0.04248,696.47297
BEBRUW,-0.17496,-0.04784,299.944114
VOGGUV,-0.13356,-0.05729,533.628491
LIRBUK,-0.18839,-0.028,468.520549
YIJMUA,-0.17419,-0.06633,750.250409
HINFIU,-0.17663,-0.04935,512.781469
RIKSEL,-0.21667,-0.03092,796.346357
IDAJON,-0.19396,-0.09232,475.795306
BAHDIA,-0.19907,-0.07001,460.20889
ILOJIE,-0.1743,-0.07488,754.375368
RAYNAJ,-0.05487,0.07171,724.677363
URSCNI,-0.34458,-0.14498,219.719114
YEFXUF,-0.18874,-0.0709,404.116964
XUVFIF,-0.29425,-0.15291,340.177795
PAKTUS,-0.18052,-0.04131,487.613433
HESJEX,-0.19447,-0.07553,391.433104
CANROB,-0.16067,-0.05633,438.047558
RIVNUG,-0.17699,-0.03481,384.953418
XILCOM,-0.14084,-0.03625,517.822499
NUHPUC,-0.35337,-0.24299,410.435704
NICJIU,-0.15369,-0.05382,604.456079
SUKHIQ,-0.16673,0.00595,506.42856
USARAI,-0.29291,-0.18212,316.715422
ICODUC,-0.18636,-0.05284,1069.33036
IKESIB,-0.158,-0.03838,395.691005
ODAFIK,-0.16724,-0.07305,546.784709
DIFROC,-0.18703,-0.02383,581.532671
GUSQOA,-0.18671,-0.07706,733.421118
BAXNAS,-0.18846,-0.0505,909.519919
VUNBAJ,-0.16543,-0.10167,704.184406
RAPTUA,-0.16154,-0.07558,891.743048
PIYNER,-0.19663,-0.0098,399.586306
FEMWAY,-0.16203,-0.04781,670.369592
PIYFEK,-0.16555,-0.0374,634.598737
WAPKAA,-0.22759,-0.03369,284.327915
SUSKAU,-0.09233,0.10233,353.127692
BUTKEG,-0.19562,-0.0214,392.434081
PESZUL,-0.17628,-0.03961,640.50153
CALQEO,-0.17551,-0.04575,379.568728
NOGXIT,-0.14962,-0.02487,522.47809
FEKQAQ,-0.21321,-0.11856,451.192092
MUSJOA,-0.20569,-0.05445,584.6515
HUTGIN,-0.17493,-0.02277,386.993788
TUVCIX,-0.22202,-0.06458,539.001336
REKVEK,-0.30881,-0.12935,455.068849
ZOCYOI,-0.18975,-0.05605,739.196595
MEYQIT,-0.18924,-0.05483,550.611507
CALPOX,-0.16753,-0.03321,389.351245
TOPYIJ,-0.19676,-0.07984,461.507669
MIPSUC,-0.16229,-0.02344,488.163445
RIKVEO,-0.16837,-0.04491,746.416833
TURRIH,-0.18531,-0.02819,412.808696
ZULFOB,-0.2159,-0.02559,294.175107
FEKQIY,-0.21769,-0.12329,469.866268
BIZTIN,-0.24367,-0.05719,241.053412
RILHOL,-0.16993,-0.03454,515.017886
BAHKED,-0.19273,-0.04531,496.240109
ELEYAW,-0.11583,-0.03106,720.442429
KADCUN,-0.18331,-0.06411,433.765871
BERGUD,-0.21089,-0.07252,483.851665
XINMEN,-0.17025,-0.02171,422.876771
OHUWIY,-0.18554,-0.09258,573.836274
DANVET,-0.17822,-0.09427,589.275464
LODHER,-0.19176,-0.06065,481.52188
KACMEJ,-0.30448,-0.18719,348.193369
NICHIR,-0.24561,-0.05166,469.472963
SEMMAB,-0.1694,-0.07363,438.665527
IMABED,-0.18509,-0.01269,595.447048
LULZOI,-0.15948,-0.03074,489.309042
TAYRUH,-0.21419,-0.03962,547.53772
EFECUO,-0.18562,-0.01581,568.537495
MALYON,-0.18862,-0.06633,508.262541
RUHQAO,-0.14343,-0.07627,589.631115
SIMQAG,-0.23381,-0.09441,421.691426
AJAMUU,-0.15463,-0.02119,537.125019
XAXYIF,-0.15403,-0.09112,346.454489
ESAYUU,-0.19104,-0.05387,439.730103
CEZLOK,-0.17338,-0.02578,310.504938
OGANIW,-0.17852,-0.0467,241.511988
EJUBOB,-0.17901,-0.04975,590.366017
QIFTAA,-0.23543,-0.10206,292.858926
NAXTEO,-0.1838,-0.05888,614.149238
NASWIP,-0.1802,-0.03443,545.906384
XITHEO,-0.17616,-0.04847,435.002153
ZAGGIA,-0.21977,-0.0309,527.963317
ACUGUB,-0.23636,-0.12251,341.986642
BIKQIY,-0.19554,-0.11225,439.131018
QIQQOW,-0.16526,-0.01153,548.060215
YIQNAP,-0.16822,-0.0407,485.999879
XEQSIX,-0.17207,-0.04678,561.078377
SOXTEH,-0.19798,-0.11933,600.735654
LIXWUL,-0.18441,-0.09441,487.486094
YOSMOJ,-0.15741,-0.01828,380.14731
VEVTUN,-0.1325,-0.03763,748.65916
MUBMIH,-0.18354,-0.05717,571.657747
VEDQUS,-0.17826,-0.03956,323.856448
LUZRAA,-0.19686,-0.10687,866.423478
AWEZIL,-0.18054,-0.01814,542.814643
LERYEN,-0.27864,-0.14793,631.877509
WAYVEX,-0.15824,-0.05765,481.875075
XITZAD,-0.21435,-0.09791,512.269538
HITHAW,-0.16982,-0.01599,698.325058
SAQBES,-0.18505,-0.05825,837.135152
YAXYUU,-0.19421,-0.10259,677.883751
QOMGUV,-0.15338,-0.04117,503.335083
EROZIU,-0.18502,-0.05483,314.466232
OWIMOX,-0.17648,-0.03594,352.329724
OFOPUU,-0.16954,-0.03686,647.022146
DUHGES,-0.17717,-0.05237,394.583604
LACMIN,-0.15809,-0.03097,615.656815
NEZQIS,-0.19336,-0.05056,512.862179
ALIRIX,-0.34081,-0.18163,343.102685
JINNAW,-0.21079,-0.084,572.973971
JINMID,-0.16603,-0.03651,404.984931
KOPBUO,-0.22937,-0.11211,348.092288
DIDSAM,-0.16783,-0.00068,419.234713
RARXOY,-0.08972,0.02954,283.942401
PAFJIR,-0.29611,-0.16871,313.136451
RIKXEQ,-0.17955,-0.04936,697.292216
NADPAL,-0.15482,-0.03786,536.78271
DIQYAF,-0.32948,-0.18591,288.020435
NOFJAT,-0.25793,-0.11831,281.80219
AKUJEW,-0.18533,-0.0295,420.563074
UNASOT,-0.21402,-0.05947,328.073978
GIZWAP,-0.19187,-0.05838,520.057781
QIFTEE,-0.23442,-0.10181,292.868255
AHOJUD,-0.09456,0.01662,731.099101
NEPNUU,-0.15961,-0.05178,448.522678
TIMTEQ,-0.17543,-0.06263,576.860206
PUWWUZ,-0.16026,-0.01821,389.273005
HISHAS,-0.37392,-0.15641,261.987999
LASSUW,-0.18289,-0.00951,416.528617
FEDSUC,-0.1821,-0.04628,253.429069
PADFUW,-0.1518,-0.03284,736.256002
OXIPOC,-0.19179,-0.03843,453.053209
ALIROD,-0.34083,-0.18189,343.099901
UDOGID,-0.16739,-0.0892,371.321327
SOXVEJ,-0.18376,-0.09348,638.214983
HEXDUL,-0.15421,-0.02507,532.826348
NIPVIR,-0.24396,-0.05452,184.276958
NODROO,-0.14698,-0.06893,453.801428
CESRUO,-0.15908,-0.06912,412.088303
PIYSIB,-0.14826,-0.02106,532.19359
YIQMUI,-0.16688,-0.0391,528.552476
YIBSEH,-0.20271,0.01417,478.898821
HODDIN,-0.15792,-0.05594,433.460039
SEHXOU,-0.17311,-0.01791,429.592822
SAHWAC,-0.2096,-0.09926,567.025979
RARCAP,-0.3063,-0.03144,398.430006
MOMTEP,-0.20898,-0.0705,607.819414
COTXAM,-0.1698,-0.05727,376.469503
USEPAK,-0.18584,-0.02393,403.29262
MINLUQ,-0.31076,-0.13209,1046.23782
ITOFIH,-0.24827,-0.1088,320.547652
WUWDID,-0.18831,-0.10391,935.581231
SIHTIM,-0.18681,-0.07172,468.62699
REJLUP,-0.17642,-0.02213,565.624482
LOCFIU,-0.18482,-0.06488,540.813242
INIVOQ,-0.18753,-0.02994,521.630442
MORMAJ,-0.1571,-0.05898,680.923162
YIBRAD,-0.23675,-0.05622,507.740433
NASTOQ,-0.34202,-0.16246,416.853638
WOKGUZ,-0.17413,-0.06802,911.260681
NEZWEU,-0.24175,-0.02143,208.271449
SOXSUW,-0.18296,-0.07811,527.270811
UMIDUP,-0.16821,-0.04178,532.298059
IDICEF,-0.18273,-0.0716,473.864931
ROGYUI,-0.15504,-0.07834,656.013429
DEZQIJ,-0.15767,-0.04301,445.14893
TAKNOI,-0.14591,-0.01216,224.329161
RIKTAG,-0.31922,-0.13129,371.113042
KELSUP,-0.32866,-0.07844,358.919705
EKOXUX,-0.2007,-0.01538,531.330115
AFUFOW,-0.1849,-0.08012,376.071855
UZOQAD,-0.18605,-0.04784,542.206555
ROCVOW,-0.17502,-0.08888,428.851631
INITUV,-0.14309,-0.01004,570.257927
VOGHEG,-0.15953,-0.05492,501.577757
XUKWOR,-0.15524,-0.06268,541.220023
OZIZON,-0.27177,-0.20336,527.481918
TESXOH,-0.32256,-0.20157,264.749282
ODOZIQ,-0.20578,-0.02461,481.39561
MUHWES,-0.17809,-0.07272,314.009881
XUKWUX,-0.16159,-0.05902,424.743019
DIGLEL,-0.17556,-0.08289,474.396486
OGANES,-0.18511,-0.06263,259.702664
COJSUS,-0.17421,-0.05905,660.464999
EGUBEN,-0.18334,-0.07586,610.638721
ZATPUH,-0.07698,0.08375,793.672129
LAQVAA,-0.18158,-0.17073,418.178855
XAVQES,-0.04536,0.01094,856.403658
QEWJOS,-0.16574,-0.0502,565.07756
DASQOF,-0.17367,0.00693,581.313989
PUZHOH,-0.16472,-0.15308,493.875278
XEWSID,-0.19549,-0.06545,534.438134
QEPYOZ,-0.16308,-0.02426,437.000871
GIZXAQ,-0.16282,-0.04602,653.013285
PUBRIO,-0.14581,-0.07329,650.907314
PULFEI,-0.20425,-0.04198,335.646952
VERMOX,-0.16823,-0.03643,510.489286
KINHUN,-0.17702,-0.07047,553.644305
CUYLAK,-0.20075,-0.01849,343.48807
AVAVEY,-0.2352,-0.11594,481.317552
ZAVZOO,-0.16049,-0.04067,838.247771
BOBJOS,-0.16283,-0.04634,415.99936
WOFGON,-0.17682,-0.02247,510.73884
ZUVMOS,-0.17047,-0.12492,821.730058
MUQKAM,-0.1776,-0.03262,319.532594
IFEHEI,-0.15808,-0.05127,668.763937
DEJNOY,-0.20304,-0.04991,386.952269
BAYSEA,-0.17739,-0.04146,592.96945
SIMWES,-0.10596,-0.05968,822.820704
WELDEX,-0.17374,-0.00813,584.905338
RIVPIW,-0.15103,-0.03404,559.976777
WUMJUL,-0.19964,-0.11297,583.872549
UXENIV,-0.17935,-0.03277,658.442795
JOPQUA,-0.18091,-0.05117,446.50782
XEWHEO,-0.28048,-0.14314,656.246284
PUBQIN,-0.17839,-0.03816,392.863546
QOCKOI,-0.06527,-0.02972,790.275065
XEVDAD,-0.23436,-0.03919,295.973709
SILYAP,-0.16948,-0.06471,556.473913
YIQZED,-0.18347,-0.04328,510.568189
NIKFAQ,-0.19614,-0.05806,576.926947
GOYMIS,-0.34988,-0.21441,312.571084
HEQCAI,-0.24321,-0.05671,323.377527
COSBOE,-0.18045,-0.05355,298.851739
QONNAK,-0.14618,-0.00356,354.744683
BUCFIP,-0.1565,-0.03713,451.145275
ROJYIZ,-0.09076,0.02662,538.302799
XOXXEN,-0.1815,-0.01725,299.274288
UDIWAG,-0.21731,-0.02549,614.049411
IMABAZ,-0.17683,-0.01239,559.135453
QOYQAX,-0.16664,-0.02639,378.215126
KINJEZ,-0.17835,-0.07334,540.155611
BATDOS,-0.18598,-0.07048,574.635836
LUSBEI,-0.1676,-0.06793,602.464938
SIWCOQ,-0.17036,-0.03209,409.463734
DACFIZ,-0.17883,-0.16852,518.649832
TABKIS,-0.21348,-0.07614,263.28573
AMAVUF,-0.16471,-0.06273,583.05876
MEJWUW,-0.19423,-0.04241,348.935452
LEKVED,-0.25602,-0.12634,406.984201
BALQOX,-0.27335,-0.15236,441.908186
GENCOS,-0.27462,-0.12107,405.694591
IMEVOL,-0.08685,-0.06041,422.843103
QEPKII,-0.17942,-0.08647,614.998126
QIQQEM,-0.18409,-0.01816,636.232205
RAMJUM,-0.15415,-0.02599,537.928319
DANNIR,-0.18078,-0.03683,530.265414
EGUCOY,-0.18636,-0.08561,833.388687
ATICUB,-0.16033,-0.03426,445.931525
CEKBOM,-0.19146,-0.04765,525.67315
YECNEZ,-0.3755,-0.25941,294.366718
QUDWIV,-0.20782,-0.06057,440.474387
NEZFII,-0.18911,-0.01027,347.39906
ROXJAR,-0.17309,-0.03428,394.346792
XOTVUX,-0.28214,-0.13067,961.172877
HEDVIV,-0.18397,-0.02651,223.868666
JIKVUX,-0.19749,-0.05556,427.257311
SAKVEI,-0.16074,-0.02779,471.589874
NODZUE,-0.20998,-0.11016,548.877136
AKAFEY,-0.15247,-0.06723,524.157344
PAFNEP,-0.2305,-0.09751,395.15533
APUBES,-0.1612,-0.02189,342.709122
YIJNEL,-0.15969,-0.04763,685.017262
TIYHEP,-0.17249,-0.05345,615.20345
VERNAK,-0.17278,-0.03718,491.228413
YIJNIP,-0.16153,-0.05409,682.475405
MANWEE,-0.15689,-0.03171,435.031652
ACUGIP,-0.23696,-0.11551,389.479807
KOCCEN,-0.1759,-0.05599,466.666124
XIXCUE,-0.22369,-0.05768,231.706147
UCUYAS,-0.17539,-0.04567,408.932076
INIVAD,-0.13923,-0.03204,575.568818
LAXCOC,-0.16449,-0.08596,535.634563
ZODMUC,-0.172,-0.01473,260.062457
NUZFUL,-0.15889,0.00597,491.728079
JEPBOW,-0.16182,-0.02768,801.241141
SAQBUI,-0.14962,-0.05751,958.886814
SEWJEL,-0.17978,-0.16889,531.653833
AYUBEB,-0.18465,-0.04272,580.826506
VAQDID,-0.1812,-0.05007,572.823552
OHUMOU,-0.18638,-0.01385,559.666521
TOHMUY,-0.17451,-0.03751,409.025603
SALPON,-0.17438,-0.12193,1033.639885
VEMPAF,-0.19314,-0.03246,407.231162
IJAZAV,-0.18088,-0.04921,489.434449
EHOCOU,-0.11751,-0.04709,482.852678
PAKVAA,-0.17895,-0.02786,471.582131
EFEMOS,-0.18583,-0.03457,518.511368
OBABAX,-0.20656,-0.0902,539.326309
ODAFEG,-0.1552,-0.06497,614.117833
MUSJAM,-0.21907,-0.07039,581.054501
IBIFUU,-0.19522,-0.05945,613.967741
XIXGOB,-0.08452,0.05058,509.775146
LACNAG,-0.16967,-0.03163,679.37195
LINFIZ,-0.15734,-0.04196,364.487084
IMOVIR,-0.18478,-0.06249,392.186273
KIFXOM,-0.18728,-0.04069,1094.379096
LIFWIJ,-0.19229,-0.18007,478.110963
PAKSUR,-0.16208,-0.02361,443.325853
COJQOK,-0.15953,-0.06286,663.708015
COJRIF,-0.13341,-0.05821,667.090564
GAVYIO,-0.18072,-0.04145,613.826845
DIRQED,-0.1753,-0.08435,379.865016
EGOZUV,-0.20023,-0.03969,517.331303
LEGDIL,-0.20649,-0.11014,415.572599
DIDROZ,-0.17339,-0.04034,385.232794
YIJCIG,-0.20006,-0.07977,409.348843
BEMFAB,-0.17443,-0.03469,479.903735
ODAFAC,-0.17893,-0.06292,424.64432
YEPMOW,-0.19586,-0.06404,602.184351
OFONAY,-0.16919,-0.0348,660.732728
BOBKEJ,-0.16233,-0.02674,402.444023
ZALBOD,-0.32946,-0.18836,449.714156
HIJQAT,-0.17926,-0.04571,440.345863
XOVHIA,-0.18256,-0.02423,368.522276
CABDAM,-0.19355,-0.06204,667.66808
PAKTIG,-0.15885,-0.02102,546.837104
TIHSAG,-0.19528,-0.08294,869.064305
IGITOI,-0.1772,0.02994,571.978946
AMIHOU,-0.19287,-0.05856,608.957911
SUFPEQ,-0.18851,-0.04853,555.499802
XAVRET,-0.18887,-0.00379,398.855021
SOJCEB,-0.19366,-0.02808,594.469779
RIKVAK,-0.16273,-0.05496,883.016302
HIGHOX,-0.16408,-0.05397,393.92609
WEKTEN,-0.18761,-0.06273,495.823441
LOFNAW,-0.18091,-0.05036,611.142499
FAKZAU,-0.12298,-0.02894,542.386686
BATFEK,-0.17437,-0.06897,614.744882
XUFNET,-0.16954,-0.03707,476.136223
EGUBOX,-0.16287,-0.08978,561.040111
DOTPEH,-0.24494,-0.06691,544.316978
NIJVOT,-0.19144,-0.05512,585.71904
ZUWYUL,-0.1919,-0.03297,366.580131
EFEGED,-0.09804,0.01589,717.870249
JUHQAG,-0.16883,-0.04679,704.64889
JOGMEZ,-0.21746,-0.06128,365.0015
LILGET,-0.17584,-0.04643,446.999137
MILWEJ,-0.2321,-0.04329,304.424959
GUXDUZ,-0.20308,-0.05154,408.085984
BUNBUJ,-0.19685,-0.06578,1070.639421
PETFUS,-0.1758,-0.04314,435.569415
ERUYAR,-0.25165,-0.11084,323.041591
JORXUM,-0.2346,-0.12513,487.405941
GIGLAK,-0.18572,-0.06073,477.93112
KEZZOH,-0.21098,-0.10428,255.304888
PIMDUM,-0.34988,-0.11994,261.887868
MALXOM,-0.18913,-0.06156,627.161339
QEWKIN,-0.15111,-0.13512,785.585887
VIXYUW,-0.17264,-0.03555,498.227392
ERAZUU,-0.15623,-0.00733,313.957605
AFOZEA,-0.16491,-0.02694,330.960024
TUQMID,-0.16461,-0.02728,620.092319
ZOFTET,-0.21638,-0.03984,290.492006
FAQNUI,-0.1838,-0.05897,310.09422
QIZRUN,-0.19489,-0.10537,509.183645
OPUMOC,-0.1823,-0.06678,526.961068
XEWHIS,-0.19142,-0.05649,577.806805
EXUZEE,-0.1024,-0.06992,851.207427
PAFVIE,-0.18128,-0.04516,644.113648
WUFHIP,-0.15535,-0.05079,689.969892
TAMMEA,-0.17966,-0.04851,620.916122
AHEHIG,-0.16999,-0.07022,361.565385
OFIFAN,-0.33271,-0.13669,591.082044
WOFGUT,-0.17328,-0.01755,565.467188
TIZROL,-0.16941,-0.03008,668.897962
KONWUH,-0.17269,-0.03726,551.053216
MIPSOW,-0.15516,-0.03434,441.270269
HUVSIB,-0.18715,-0.07575,598.331018
NUYPON,-0.2351,0.01983,223.063919
CUJJOH,-0.17857,-0.0506,568.857832
PUWTIL,-0.19311,-0.09338,528.85572
PUKHIO,-0.20943,-0.06653,385.413009
CORLAW,-0.2378,-0.03747,167.468527
UGENAW,-0.08587,0.03242,527.811685
MANWAA,-0.06745,0.06438,611.835416
DELTOE,-0.18336,-0.05089,315.004251
BUJWUA,-0.17042,-0.08109,593.663901
KAPZEI,-0.19031,-0.07414,570.127815
NAYCUM,-0.21574,-0.05715,429.366236
YUMKIB,-0.20589,-0.07862,632.231057
QEJYAH,-0.26464,-0.06968,307.182522
DEHPOV,-0.2207,-0.08546,343.021333
MITBEZ,-0.18061,-0.05454,765.698991
DUCBOS,-0.22581,-0.11879,302.784122
JUCQON,-0.2432,0.00906,199.529223
APABID,-0.17813,-0.11266,330.806822
QEWJUY,-0.16711,-0.05127,627.377484
DEKWAU,-0.19101,-0.06648,606.524794
SETJOT,-0.23637,-0.05003,264.554783
EYEXAH,-0.16685,-0.04878,440.98943
CIJGEI,-0.19539,-0.08842,649.654431
NUPLOB,-0.20738,-0.05674,421.905721
RIKVOY,-0.18985,-0.10265,492.368007
OZUZOA,-0.18912,-0.087,501.249926
HIJPUM,-0.16897,-0.04276,447.675168
DOTFUN,-0.22633,-0.05579,772.52261
HEDJOP,-0.23233,0.01883,311.556139
DODKEO,-0.10132,-0.07485,585.998127
WULKIX,-0.16665,-0.07353,524.915719
VIFRIL,-0.15958,-0.03194,311.980603
ZAVPOE,-0.14658,-0.06466,718.27264
POSQAQ,-0.22545,-0.05663,338.229623
IMEBEI,-0.20679,-0.09907,364.845283
SIHZOB,-0.15996,-0.01391,472.942454
YUFXIH,-0.19719,-0.0574,381.127286
QALJUK,-0.17758,-0.03655,535.458638
MUNDIJ,-0.19084,-0.04275,358.319612
PIKJUP,-0.18932,-0.03601,434.351604
HUVRUM,-0.12028,-0.05307,495.32997
ZUNLUP,-0.30621,-0.0949,368.953092
RILGIE,-0.18607,-0.07128,641.791225
TIGDUI,-0.18157,-0.039,639.101543
BEKPOZ,-0.36143,-0.13596,264.104896
AWEZEH,-0.16308,-0.01017,537.531414
NIRKOQ,-0.31353,-0.18392,474.117178
DOPROQ,-0.19149,-0.05773,445.499855
WUZJIK,-0.17128,-0.06156,525.367221
RIVPES,-0.16176,-0.02165,451.740811
TAJZUC,-0.19145,-0.06354,686.390873
EYEWUA,-0.13407,-0.04606,639.272802
AVIPOK,-0.17794,-0.01808,511.454505
QEWKAF,-0.16962,-0.04627,611.641477
KOCBUC,-0.1825,-0.06313,461.357563
YEYBEK,-0.19798,-0.06989,641.813602
EPONON,-0.18229,-0.04979,581.158974
DASNUI,-0.17199,0.00374,595.120046
NEZQEO,-0.13539,-0.07569,452.871806
EGEKOR,-0.16065,-0.0497,541.466586
ROHMIM,-0.16403,-0.0426,705.783989
TOQVOL,-0.17156,0.01046,504.690829
UVUWOY,-0.17232,-0.04017,692.557527
CIMBEG,-0.19851,-0.07326,391.862998
RANDUF,-0.19192,-0.1004,876.447165
SUQWEG,-0.17062,-0.04905,368.449279
ROWZUA,-0.1837,-0.06797,530.30025
JOBKAN,-0.35797,-0.14675,334.594272
RILJED,-0.19036,-0.05747,685.863499
YIGNUA,-0.19093,-0.04689,711.608942
ZIPJUF,-0.18294,-0.01585,411.041776
SIVNOC,-0.22927,-0.03898,535.447467
SIMFAV,-0.17928,-0.08465,495.466735
KIBBAB,-0.23938,0.02289,184.979594
TUPWEG,-0.28665,-0.25447,880.502044
MALYII,-0.18471,-0.07256,400.222756
IYENAD,-0.31605,-0.17599,356.722974
ZIGKOS,-0.16835,-0.03969,447.429024
ZAVZAA,-0.192,-0.08712,499.773758
CAXCEL,-0.1816,-0.04928,753.338416
WIWWEF,-0.17691,-0.05055,445.972284
VARQOU,-0.22127,-0.04448,239.988675
DOPSAD,-0.18813,-0.05336,406.627802
XUJTOL,-0.18823,-0.09447,413.180322
JOQPEK,-0.1779,-0.04356,337.14991
BODNAK,-0.19336,-0.06233,304.810038
BEXKUL,-0.18212,-0.02728,307.33788
BOBKOT,-0.23415,-0.06684,352.497319
YOPDIQ,-0.19152,-0.07988,699.002901
YOSMUP,-0.15493,-0.00805,386.396582
LEXFAW,-0.20194,-0.05367,442.08469
YUKLEW,-0.29274,-0.13842,261.570712
VIMGOO,-0.17491,-0.0559,547.432385
PAFHUB,-0.17618,-0.03437,281.900992
GENCIM,-0.1736,-0.00545,476.225521
WEYKUH,-0.20195,-0.03495,411.180599
GAKZAT,-0.31575,-0.26696,343.819455
CUYQAP,-0.16887,-0.03245,534.027086
ETAWEB,-0.32078,-0.21075,613.999311
PUPLAP,-0.19054,-0.04957,678.628846
AROLEA,-0.23172,-0.07513,326.328937
QOJSUD,-0.17349,-0.04795,315.037924
YACRAW,-0.16426,-0.01058,483.956645
AXACUX,-0.21238,-0.09382,441.696075
YICXEO,-0.15714,-0.00772,417.663351
RUXCEU,-0.16546,-0.05176,950.948369
JUXMUK,-0.22657,-0.03902,310.526582
YICXIS,-0.1664,-0.019,451.376112
ELIZOQ,-0.17548,-0.0324,467.762039
REJMAW,-0.1764,-0.02209,565.623188
QUHQOZ,-0.19459,-0.02832,327.444525
TATSIR,-0.20718,-0.06045,329.182952
KILKIC,-0.22827,-0.06173,464.34992
COJRAX,-0.157,-0.06243,640.385739
OGANAO,-0.18443,-0.06827,271.935594
BENBII,-0.22937,-0.10719,419.555692
PAKWAB,-0.14909,-0.0228,472.933103
NONJEI,-0.18757,-0.04824,538.006121
XAWVEW,-0.36552,-0.23121,267.524592
SUQRUR,-0.15465,-0.02356,257.825479
SAXSEQ,-0.30129,-0.16587,370.147724
VEDSEE,-0.19408,-0.0823,626.793953
IKILUK,-0.17369,-0.03372,767.973964
QIHYOY,-0.15693,-0.05464,700.729066
GAKBAW,-0.23231,-0.10943,310.351142
HAMZAW,-0.32659,-0.15671,251.764013
IJAPEP,-0.17928,-0.03378,282.985172
XIQJIQ,-0.1842,-0.04986,454.146353
LATKOG,-0.10387,0.10577,291.903476
DAHLUV,-0.18465,-0.02352,355.007796
PODRIM,-0.16673,-0.07941,647.235637
AFOYUP,-0.15494,-0.0117,403.101619
BABZEM,-0.17036,-0.05454,277.784817
UWODOB,-0.19733,-0.04575,385.739003
ILAYOK,-0.31783,-0.21094,334.649891
YUSVUE,-0.31598,-0.1347,477.864045
ZEDJOK,-0.19478,-0.07489,458.894548
GUMYAP,-0.14534,-0.03811,510.221416
BAHGEX,-0.19393,-0.0426,340.463892
QEGJOE,-0.18003,-0.04872,601.535092
COFBAB,-0.18608,-0.01901,569.496542
YUHJIW,-0.18991,-0.07374,622.541052
TEZTAV,-0.17017,-0.04999,634.997601
DAHMEG,-0.16366,-0.03474,366.696961
HUWDUY,-0.22456,-0.09904,589.927083
VEDHOC,-0.17649,-0.00157,683.332477
YEFZIT,-0.14489,-0.03623,418.402491
RIDSIG,-0.20516,-0.0613,669.18787
UGEBIS,-0.19632,-0.07516,1156.883783
PHBUAY,-0.20748,-0.06773,400.327228
VOGJAE,-0.11889,-0.04782,489.812309
RAMJOG,-0.16485,-0.05773,366.45072
IGEDIH,-0.17845,-0.07009,764.409949
PIXHAG,-0.17949,-0.06387,560.780298
HIMDOX,-0.20976,-0.08205,619.832188
KUKREO,-0.16541,-0.0134,557.253057
ZIQKAO,-0.18223,-0.09271,502.673089
HUVSAT,-0.19064,-0.07496,584.609416
AGUFEN,-0.16987,-0.06033,976.653002
QOPVOI,-0.18216,-0.08275,601.714011
MOGWIP,-0.16498,-0.01178,424.86551
ESIHEU,-0.20413,-0.04707,608.639506
MEBDEC,-0.15302,-0.058,568.866241
RILGAW,-0.18789,-0.06177,687.926648
GUSQUG,-0.20577,-0.10019,573.57498
PUJZAX,-0.20923,-0.04979,366.750225
AFUFAI,-0.18472,-0.08086,439.701302
ZEQQAN,-0.21031,-0.19697,321.083572
HEWDUJ,-0.29031,-0.1314,391.227698
XENKAC,-0.22613,-0.10663,380.894728
UNAMAX,-0.15721,-0.01118,381.098448
EFUFAN,-0.20477,-0.10217,519.008165
XUTRUZ,-0.1669,-0.05016,651.558236
NOYJUI,-0.17795,-0.02655,681.008174
QELKEY,-0.19603,-0.03242,538.797335
YOXHAV,-0.18095,-0.05225,456.883112
COJRUR,-0.14701,-0.06668,714.694121
QOFHOK,-0.19587,-0.05982,573.355462
HAFZEV,-0.16143,-0.01629,361.631258
TUCSUF,-0.20663,-0.03487,449.563646
USEMUB,-0.16562,-0.01912,468.425583
XERTUK,-0.19344,-0.09656,586.744706
MAQNAT,-0.18281,-0.04551,392.816712
QOCKUO,-0.06319,-0.02928,785.12785
RIGYUB,-0.1017,0.11684,230.398155
TATTOY,-0.21018,-0.05621,422.933844
PONQAN,-0.18718,-0.01077,210.903738
QUGJUY,-0.16406,-0.02611,406.432541
IFEHIM,-0.16088,-0.05705,652.517401
KUKQOX,-0.18091,-0.01177,523.801388
EMUTAJ,-0.28397,-0.10755,259.905548
RAGYIJ,-0.11529,0.03058,282.650101
OVIPUF,-0.17235,-0.02384,349.686124
OZUZEQ,-0.19155,-0.07828,510.441088
GUXFUB,-0.16452,-0.0233,562.322459
NAHDOQ,-0.19309,-0.05794,593.2088
PIWZOM,-0.17628,-0.0288,248.245544
MENQOL,-0.33536,-0.19033,387.918322
DARYEC,-0.15866,-0.06287,447.890446
QIHZOZ,-0.15428,-0.05513,713.607012
AMAWEQ,-0.1553,-0.05859,548.012642
EXADAI,-0.17038,-0.00358,339.568633
XIXDAL,-0.19876,-0.05266,358.803586
RUXTEL,-0.16998,-0.06477,611.55149
